ID,First Name,Last Name,Class Level,Desired Class,Credits,Points
9410917,Reagan,Walls,Sophomore,COMP 182,75,77
13498070,Stewart,Fry,Senior,COMP 100,70,92
37500410,Talon,Witt,Junior,COMP 100,107,389
47845461,Ciara,Beard,Grad,COMP 110,97,196
36580513,Alyssa,Branch,Senior,COMP 100,71,272
29757217,Jameson,Thornton,Senior,COMP 182,19,10
46309070,Ivy,Valdez,Sophomore,COMP 100,6,16
65609991,Nina,Melendez,Junior,COMP 100,51,163
37405616,Miriam,Welch,Sophomore,COMP 110,57,179
89076609,Kibo,Blanchard,Freshman,COMP 110,27,36
32443128,Herman,Contreras,Grad,COMP 110,5,11
36391008,Alma,Davis,Grad,COMP 182,171,615
11843135,Rajah,Middleton,Junior,COMP 182,77,143
51106825,Alea,Ayala,Grad,COMP 110,90,118
92144071,Justine,Church,Sophomore,COMP 100,74,24
39351069,Giselle,Miranda,Junior,COMP 182,55,168
30039037,Olympia,Conley,Senior,COMP 100,151,222
47511974,Indira,Hutchinson,Junior,COMP 182,25,32
57733646,Mercedes,Oconnor,Senior,COMP 110,61,7
65264543,Germaine,Walton,Junior,COMP 110,40,100
5252825,Emery,Gregory,Sophomore,COMP 182,10,21
18155404,Ingrid,Marks,Senior,COMP 110,118,442
37239735,Sloane,Robbins,Freshman,COMP 182,27,33
18112825,Deacon,Massey,Junior,COMP 110,119,91
11146819,Nicholas,Mcdaniel,Senior,COMP 100,120,326
97398956,Lysandra,Vega,Sophomore,COMP 182,44,59
45881799,Zenaida,Chapman,Senior,COMP 100,114,361
89460292,Jonah,Grant,Sophomore,COMP 182,43,119
4724793,Tatiana,Stafford,Senior,COMP 100,78,147
3780002,Coby,Lott,Senior,COMP 100,103,71
81609635,Quinlan,Mccarty,Senior,COMP 182,42,56
50082925,Stewart,Velez,Sophomore,COMP 182,28,18
93481139,Alden,Wilson,Sophomore,COMP 100,72,81
70977727,Akeem,Warner,Sophomore,COMP 110,55,5
39411491,Dane,Decker,Freshman,COMP 182,19,2
34799280,Mollie,Anderson,Freshman,COMP 110,9,4
68533744,Hannah,Frank,Senior,COMP 100,98,294
4083340,Jacob,Terrell,Senior,COMP 100,134,28
91385206,Miranda,Mcclure,Freshman,COMP 100,10,24
7186006,Shaeleigh,Charles,Freshman,COMP 110,15,11
76963143,Lucian,Simon,Freshman,COMP 100,23,86
62910962,Raja,Mcgowan,Grad,COMP 110,81,127
59517033,Nevada,Ford,Sophomore,COMP 182,38,15
31531851,Akeem,Morton,Freshman,COMP 110,26,98
67652109,Lionel,Brooks,Freshman,COMP 100,19,39
32733986,Cally,Jacobson,Junior,COMP 100,2,1
34734115,Bryar,Carlson,Junior,COMP 100,40,95
43665414,Aaron,Warren,Grad,COMP 110,11,31
36958206,September,Alvarado,Junior,COMP 100,72,95
50505340,Melissa,Kerr,Sophomore,COMP 110,49,133
48052464,Shoshana,Anderson,Grad,COMP 110,5,12
87617450,Tallulah,Brock,Senior,COMP 110,26,35
56387073,Eve,Cervantes,Sophomore,COMP 182,11,10
52789056,Megan,Burnett,Sophomore,COMP 182,65,97
21883918,Demetrius,Wiggins,Senior,COMP 182,32,101
48730000,Remedios,Tillman,Sophomore,COMP 100,15,17
73483256,Halla,Logan,Junior,COMP 100,102,152
28376752,Hyatt,Austin,Senior,COMP 100,147,347
29898572,Nelle,Mayo,Freshman,COMP 182,1,1
27321735,Kiayada,Casey,Junior,COMP 182,112,378
67506445,Amena,Bauer,Grad,COMP 100,94,12
53222869,Chantale,Holt,Sophomore,COMP 182,26,67
4558105,Clayton,Ramsey,Senior,COMP 100,45,11
49977063,Maia,Powell,Freshman,COMP 100,19,12
1135840,TaShya,Turner,Grad,COMP 100,8,4
77550821,Xenos,Lawson,Senior,COMP 110,144,162
82749150,Cally,Cross,Senior,COMP 182,2,2
72948595,Axel,Tanner,Senior,COMP 182,102,194
31142919,Leonard,Parks,Freshman,COMP 110,28,101
46437507,Unity,Lee,Grad,COMP 100,73,268
94422994,Isadora,Mcdaniel,Grad,COMP 182,132,397
87783362,Bernard,Day,Grad,COMP 100,170,300
2208815,Aristotle,Preston,Junior,COMP 100,102,156
38209671,Ariana,Mueller,Grad,COMP 110,190,751
30102699,Bianca,Burgess,Junior,COMP 182,69,2
83792034,Jemima,Bowman,Freshman,COMP 100,5,12
82412849,Kameko,Cervantes,Senior,COMP 182,150,327
3892063,Holmes,Garrison,Grad,COMP 110,129,464
2974339,Charlotte,Wyatt,Freshman,COMP 100,24,85
59527651,Simone,Guerra,Senior,COMP 100,135,241
1691831,Arsenio,Mccarty,Senior,COMP 110,130,396
29204472,Anjolie,Zimmerman,Freshman,COMP 110,24,9
68066239,Graiden,Cash,Senior,COMP 100,49,175
9023902,Tiger,Fuentes,Grad,COMP 182,22,13
69894259,Ainsley,Yang,Freshman,COMP 100,1,2
55658632,Lillian,Graham,Senior,COMP 100,0,0
23295442,Haley,Bell,Grad,COMP 182,1,1
76348247,Branden,Roy,Freshman,COMP 110,34,110
36295825,Emma,Fischer,Sophomore,COMP 110,19,73
96912289,Samson,Tyler,Junior,COMP 182,102,218
57432750,Kitra,Dyer,Junior,COMP 182,74,90
77681624,Rhea,Trevino,Freshman,COMP 182,34,122
94600854,Byron,Maddox,Senior,COMP 100,156,177
86621453,Scarlett,Huber,Grad,COMP 182,44,30
28806950,Buckminster,Fry,Senior,COMP 182,12,13
69888688,Matthew,Delgado,Senior,COMP 100,144,548
81238532,Summer,Dejesus,Senior,COMP 100,14,27
3795677,Brady,West,Freshman,COMP 100,38,40
84314558,Imelda,Gonzalez,Grad,COMP 110,103,197
9519060,Cally,Nieves,Freshman,COMP 110,37,129
99395177,Violet,Schultz,Junior,COMP 182,116,128
33785188,Hyacinth,Davidson,Grad,COMP 110,65,120
10066372,Lilah,Berg,Sophomore,COMP 100,28,17
17158563,Joelle,Garner,Freshman,COMP 100,28,49
37874775,Stephanie,Whitfield,Freshman,COMP 100,38,99
